townland_name,has_parish,has_barony,has_county,detected_at
CARROWBAWN,False,False,False,2026-06-09
CASTLEGRANGE,False,False,False,2026-06-09
CLORA,False,False,False,2026-06-09
COURTFOYLE,False,False,False,2026-06-09
CULLENMORE,False,False,False,2026-06-09
DUNRAN DEMESNE,False,False,False,2026-06-09
GRANGE NORTH,False,False,False,2026-06-09
GRANGE SOUTH,False,False,False,2026-06-09
INCHANAPPA NORTH,False,False,False,2026-06-09
INCHANAPPA SOUTH,False,False,False,2026-06-09
KELLYSTOWN,False,False,False,2026-06-09
KILLISKEY,False,False,False,2026-06-09
KILMARTIN,False,False,False,2026-06-09
